Название,Ссылка товара,Старая цена,Цена,Скидка,Ссылки на картинки,Ссылки Доп Фото,Описание,Характеристики,Преимущества
"Тумба BOSS велюр Monolit Санд, Крафт табачный",https://mnogomebeli.com/tumby/prikrovatnye/tumba-boss-monolit-kraft-tabachnyy/!tumba-boss-velyur-monolit-sand-kraft-tabachnyy/,9 999,9 499,-5%,"https://mnogomebeli.com/upload/iblock/506/506a02eb08001b7c081e51c2544ba195.jpg, https://mnogomebeli.com/upload/iblock/de6/de6ab2a3c8456a959899410d4e3b180e.jpg, https://mnogomebeli.com/upload/iblock/260/260f538356fa4e1484caca28e28b662f.jpg, https://mnogomebeli.com/upload/iblock/8e6/5y5ni7hzc5sorayrmo2mdsl2sf89rds9.jpg, https://mnogomebeli.com/upload/iblock/9d8/tkdig25di20agqyxd3st99xkcr1qe11o.jpg, https://mnogomebeli.com/upload/iblock/9b7/wydtcyad4rqinn83elperhnpo0a7xrer.jpg",https://mnogomebeli.com/upload/iblock/7f7/7f7fe8a573275e8d0d22ab8dd61a241f.png,"Тумба BOSS – разрушает стереотипы о прикроватной мебели! Кто сказал, что она не может быть мягкой? Выдвижной ящик с дополнительной полкой помогут держать самое необходимое под рукой, а мягкая поверхность подарит настоящий домашний уют.","Габариты (ШхГхВ): 50x42x45 см, Цвет: крафт табачный, санд, Направляющие ящиков: Шариковые, Материалы: ткань, ЛДСП, Гарантия: 36 месяцев, Срок службы: 10 лет, Количество упаковок: 1, Вес: 16 кг","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Мебельный бархат - тренд 2021 года, Тактильно приятный, мягкий ворс"
Кровать SKANDY Monolit аква,https://mnogomebeli.com/krovati/dvuspalnye-krovati/krovat-skandy-test/!krovat-skandy-monolit-akva/,41 999,34 999,-17%,"https://mnogomebeli.com/upload/iblock/34c/phhp7x9h7geg8tacskyyxwzp5b7h1u3q.jpg, https://mnogomebeli.com/upload/iblock/a8e/dztoqqg3ob1tak4g9bcag7c5uqeeaywi.jpg, https://mnogomebeli.com/upload/iblock/8b3/nohan7tifn00932u77bveodslnkx2h91.jpg, https://mnogomebeli.com/upload/iblock/cf5/wdsyqaoz1n0s68iw9tbrv3uouvwkhkr4.jpg","https://mnogomebeli.com/upload/uf/f99/wlywp0jnsc6a3134f6cdwl12wu05c4uh.jpg, https://mnogomebeli.com/upload/uf/3b3/odjddl414pqkth5bvl3aemuaoxz9v32z.jpg, https://mnogomebeli.com/upload/uf/f0b/heqm7xym729dm55ya4q9o9o8oje2xty7.jpg, https://mnogomebeli.com/upload/uf/a07/93wqk4eq78rcrx9kbwb4uw58k6yteum1.jpg, https://mnogomebeli.com/upload/iblock/b1b/p6209r1a4qk4n8tcqw276wv2txomk3gs.jpg",None,"Габариты (ШхДхВ): 182x218x106 см, Спальное место (ШхД): 160x200 см, Бельевой ящик и подъемный механизм: Да, Цвет: аква, Материал: Массив дерева, металл, Гарантия: 36 месяцев, Срок службы: 10 лет, Тип ткани: велюр Monolit","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Тактильно приятный, мягкий ворс, Мебельный бархат - тренд 2021 года"
"Тумба BOSS велюр Monolit Серый, Сонома",https://mnogomebeli.com/tumby/prikrovatnye/tumba-boss-monolit/!tumba-boss-velyur-monolit-seryy-sonoma/,9 999,9 499,-5%,"https://mnogomebeli.com/upload/iblock/4ec/per9bbkv51xhcmsupp55usb8h3kodgw3.jpg, https://mnogomebeli.com/upload/iblock/05b/oavjo12hscmquy3plck3nfkqeyx4z6tz.jpg, https://mnogomebeli.com/upload/iblock/821/82104f4eb881e49dd11c2ddac99b62e3.jpg, https://mnogomebeli.com/upload/iblock/466/cdy5f0ijrp3pprk0sye42n57elj2dgsz.jpg, https://mnogomebeli.com/upload/iblock/849/i4lmm806tfguyf6bsebjlh5k5l2wxyjg.jpg, https://mnogomebeli.com/upload/iblock/2b3/qmseyy9figeztc61z1mirvzthvdv7b05.jpg",https://mnogomebeli.com/upload/iblock/78f/78f6323037062a719cdcde2ffdfd53c4.png,"Тумба BOSS – разрушает стереотипы о прикроватной мебели! Кто сказал, что она не может быть мягкой? Выдвижной ящик с дополнительной полкой помогут держать самое необходимое под рукой, а мягкая поверхность подарит настоящий домашний уют.","Габариты (ШхГхВ): 50x42x45 см, Цвет: сонома, серый, Направляющие ящиков: Шариковые, Материалы: ткань, ЛДСП, Гарантия: 36 месяцев, Срок службы: 10 лет, Количество упаковок: 1, Вес: 16 кг","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Мебельный бархат - тренд 2021 года, Тактильно приятный, мягкий ворс"
Бортик BOSS шенилл Soro грей,https://mnogomebeli.com/krovati/aksessuary-dlya-sna/bortiki-dlya-krovati/bortik-boss-shenill-soro/!bortik-boss-shenill-soro-grey/,4 999,3 999,-20%,"https://mnogomebeli.com/upload/iblock/344/jwvc7fqshepq2k21zize3tol0ipd03kt.jpg, https://mnogomebeli.com/upload/iblock/fa7/kiuyrtcb4asl7o90mfsdt4fnn3ykavek.jpg, https://mnogomebeli.com/upload/iblock/4ad/bhdvg3rvqzflb6g8vz5yjm5wsq0wkh0b.jpg",https://mnogomebeli.com/upload/iblock/943/943cda039281e84caec2866ee824ac87.png,Безопасность во время сна очень важна. Практичное и удобное решение для спокойного сна – бортик барьер для кровати BOSS mini. Изделие идеально предотвращает скатывание и обеспечивает спокойный сон.,"Габариты (ШхДхВ): 6x88x42 см, Гарантия: 36 месяцев, Количество упаковок: 1, Вес: 3 кг, Цвет: грей, Тип ткани: шенилл Soro","Мягкая и приятная на ощупь фактура, Отсутствует пальчиковый эффект, Эстетичный внешний вид, Гипоаллергенный материал, Воздухопроницаемый и гигроскопичный материал, Простой уход"
Кровать SKANDY Monolit серая,https://mnogomebeli.com/krovati/dvuspalnye-krovati/krovat-skandy-test/!krovat-skandy-monolit-seraya/,41 999,34 999,-17%,"https://mnogomebeli.com/upload/iblock/202/icnitprht2n6okdy2f9f39vfsxbvu5td.jpg, https://mnogomebeli.com/upload/iblock/a49/da4z9p10amu7rtu6mqw1cnwcfjxeemcw.jpg, https://mnogomebeli.com/upload/iblock/dd5/s25kwjrf86yp3s9h72ixr4j3n5eqhwkj.jpg, https://mnogomebeli.com/upload/iblock/e50/myol787zy5yuot6zoy15agwu8z2pkoi2.jpg","https://mnogomebeli.com/upload/uf/f99/wlywp0jnsc6a3134f6cdwl12wu05c4uh.jpg, https://mnogomebeli.com/upload/uf/3b3/odjddl414pqkth5bvl3aemuaoxz9v32z.jpg, https://mnogomebeli.com/upload/uf/f0b/heqm7xym729dm55ya4q9o9o8oje2xty7.jpg, https://mnogomebeli.com/upload/uf/a07/93wqk4eq78rcrx9kbwb4uw58k6yteum1.jpg, https://mnogomebeli.com/upload/iblock/b1b/p6209r1a4qk4n8tcqw276wv2txomk3gs.jpg",None,"Габариты (ШхДхВ): 182x218x106 см, Спальное место (ШхД): 160x200 см, Бельевой ящик и подъемный механизм: Да, Цвет: серый, Материал: Массив дерева, металл, Гарантия: 36 месяцев, Срок службы: 10 лет, Тип ткани: велюр Monolit","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Тактильно приятный, мягкий ворс, Мебельный бархат - тренд 2021 года"
Кровать SKANDY Monolit санд,https://mnogomebeli.com/krovati/dvuspalnye-krovati/krovat-skandy-test/!krovat-skandy-monolit-sand/,41 999,34 999,-17%,"https://mnogomebeli.com/upload/iblock/ed0/pnlldhhmo8ldbyq1qf6d0i7nbx3slvjm.jpg, https://mnogomebeli.com/upload/iblock/27f/zh4bn1452do0v953bs3rbxkcm40wbcgt.jpg, https://mnogomebeli.com/upload/iblock/107/fimlyh2jiez2hp11sefqowoq7pxfpq4r.jpg, https://mnogomebeli.com/upload/iblock/e59/fsjpuvbqzq8hq0t20kmc9r46wdddr7pu.jpg","https://mnogomebeli.com/upload/uf/f99/wlywp0jnsc6a3134f6cdwl12wu05c4uh.jpg, https://mnogomebeli.com/upload/uf/3b3/odjddl414pqkth5bvl3aemuaoxz9v32z.jpg, https://mnogomebeli.com/upload/uf/f0b/heqm7xym729dm55ya4q9o9o8oje2xty7.jpg, https://mnogomebeli.com/upload/uf/a07/93wqk4eq78rcrx9kbwb4uw58k6yteum1.jpg, https://mnogomebeli.com/upload/iblock/b1b/p6209r1a4qk4n8tcqw276wv2txomk3gs.jpg",None,"Габариты (ШхДхВ): 182x218x106 см, Спальное место (ШхД): 160x200 см, Бельевой ящик и подъемный механизм: Да, Цвет: санд, Материал: Массив дерева, металл, Гарантия: 36 месяцев, Срок службы: 10 лет, Тип ткани: велюр Monolit","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Тактильно приятный, мягкий ворс, Мебельный бархат - тренд 2021 года"
"Тумба BOSS велюр Monolit Аква, Крафт табачный",https://mnogomebeli.com/tumby/prikrovatnye/tumba-boss-monolit-kraft-tabachnyy/!tumba-boss-velyur-monolit-akva-kraft-tabachnyy/,9 999,9 499,-5%,"https://mnogomebeli.com/upload/iblock/6fe/6fe3a9275de855c69442c95a992c2828.jpg, https://mnogomebeli.com/upload/iblock/cd2/cd256034592767a8d7d3bc9095fc9bd6.jpg, https://mnogomebeli.com/upload/iblock/1cb/1cb56aff15c6c3d980e62a910bf26119.jpg, https://mnogomebeli.com/upload/iblock/0b9/sgjs21x6qa8rw5nihg8uig1sh7rbr0hs.jpg, https://mnogomebeli.com/upload/iblock/a2e/bl7slz92ez7odap01f0j8qn77y4ae42i.jpg, https://mnogomebeli.com/upload/iblock/dd6/i52u7c5406t4qyck1ef5jr72eibmaayp.jpg",https://mnogomebeli.com/upload/iblock/7f7/7f7fe8a573275e8d0d22ab8dd61a241f.png,"Тумба BOSS – разрушает стереотипы о прикроватной мебели! Кто сказал, что она не может быть мягкой? Выдвижной ящик с дополнительной полкой помогут держать самое необходимое под рукой, а мягкая поверхность подарит настоящий домашний уют.","Габариты (ШхГхВ): 50x42x45 см, Цвет: крафт табачный, аква, Направляющие ящиков: Шариковые, Материалы: ткань, ЛДСП, Гарантия: 36 месяцев, Срок службы: 10 лет, Количество упаковок: 1, Вес: 16 кг","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Мебельный бархат - тренд 2021 года, Тактильно приятный, мягкий ворс"
"Тумба BOSS велюр Monolit Роуз, Сонома",https://mnogomebeli.com/tumby/prikrovatnye/tumba-boss-monolit/!tumba-boss-velyur-monolit-roza-sonoma/,9 999,9 499,-5%,"https://mnogomebeli.com/upload/iblock/bdb/bdb750be9023b40af5b553a94a14c685.jpg, https://mnogomebeli.com/upload/iblock/d7d/d7dd9f27e37d52131d6fc4d5d2538030.jpg, https://mnogomebeli.com/upload/iblock/a78/a78d8402bd1488f4b20d3f72458ee873.jpg, https://mnogomebeli.com/upload/iblock/1b0/oi82ryo4xta3r0193tkqdclehmb5bd0g.jpg, https://mnogomebeli.com/upload/iblock/804/omsj2zvw839v8rpb2xxo2fmx0owwo3ms.jpg, https://mnogomebeli.com/upload/iblock/fbe/aqhf2x8nmuc0qhed1nxlt62m2vd50kft.jpg",https://mnogomebeli.com/upload/iblock/78f/78f6323037062a719cdcde2ffdfd53c4.png,"Тумба BOSS – разрушает стереотипы о прикроватной мебели! Кто сказал, что она не может быть мягкой? Выдвижной ящик с дополнительной полкой помогут держать самое необходимое под рукой, а мягкая поверхность подарит настоящий домашний уют.","Габариты (ШхГхВ): 50x42x45 см, Цвет: сонома, роуз, Направляющие ящиков: Шариковые, Материалы: ткань, ЛДСП, Гарантия: 36 месяцев, Срок службы: 10 лет, Количество упаковок: 1, Вес: 16 кг","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Мебельный бархат - тренд 2021 года, Тактильно приятный, мягкий ворс"
Диван Оскар велюр Monolit аква,https://mnogomebeli.com/divany/divany-krovati/divan-oskar-monolit/!divan-oskar-velyur-monolit-akva/,52 999,39 999,-25%,"https://mnogomebeli.com/upload/iblock/150/pe5egk787l3qadp6z20uul3fmrkhyli7.jpg, https://mnogomebeli.com/upload/iblock/ca3/yao8c233gqlcqxbby1os0hkrky5nd6nq.jpg, https://mnogomebeli.com/upload/iblock/fda/o7y8ncnfvvqgldz9366v144hpt43lnxn.jpg, https://mnogomebeli.com/upload/iblock/383/5gdzy40ifgq3ah57vv6qibf79zan8ma7.jpg, https://mnogomebeli.com/upload/iblock/3a7/m6ekvwmbwr4uxy3ss55sh7q5qv7s2qqf.jpg, https://mnogomebeli.com/upload/iblock/f12/13jxcydep2myb2w9dh2h2cx9mpf0q0kw.jpg, https://mnogomebeli.com/upload/iblock/306/3d5fkxjjwkiz4osls7xymud0bnlq0ad9.jpg","https://mnogomebeli.com/upload/uf/c00/c00403d7912e2c915d86886ac653bf7e.jpg, https://mnogomebeli.com/upload/uf/0fa/0fa3c6bc15edffebb126dfc5e23a7c33.jpg, https://mnogomebeli.com/upload/uf/0a0/0a0c468b72b044c9b3f7ec5a06565673.png, https://mnogomebeli.com/upload/uf/c86/ugrzq6umzzzbu5b859r2v2dgsitg8r3h.gif, https://mnogomebeli.com/upload/iblock/754/xj5vy9m6r3x24a4dxlbyoa3clx6yuk4y.jpg","Прямой диван Оскар с широкими прямоугольными подлокотниками, строгой симметрией и минималистичной отделкой идеально дополнит современный интерьер в стиле лофт. ","Габариты (ШхГхВ): 240x101x82 см, Спальное место (ШхГ): 196x134 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: велюр Monolit, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 115 кг","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Тактильно приятный, мягкий ворс, Мебельный бархат - тренд 2021 года"
Диван Dandy-2 рогожка Malmo шоколад,https://mnogomebeli.com/divany/pryamye-divany/divan-dandy-2-rogozhka-malmo/!divan-dandy-2-rogozhka-malmo-shok/,35 999,30 999,-14%,"https://mnogomebeli.com/upload/iblock/626/626e7b64a9ec0000d224d55b1d9891d8.jpg, https://mnogomebeli.com/upload/iblock/241/241118fb7257a7b8429c0852e1e805d0.jpg, https://mnogomebeli.com/upload/iblock/28f/28ffa383d8bbe0e461c10d79e61465e2.jpg, https://mnogomebeli.com/upload/iblock/2e5/2e58d984c9ee6e2f83a676108dde91af.jpg, https://mnogomebeli.com/upload/iblock/815/81536e74fa04ef5954949e109bf49d12.jpg, https://mnogomebeli.com/upload/iblock/2d1/cft74zjhepp4d2zbjkwgk531nzvr2hv2.jpg, https://mnogomebeli.com/upload/iblock/f25/boovan32ww1xmha4vuzcj4d1qo2z2zi4.jpg","https://mnogomebeli.com/upload/uf/418/41863dc6fa5acc34446725a7fe6aad85.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/017/0179ed696bceaca34c4b65aa236609a8.jpg, https://mnogomebeli.com/upload/uf/727/7273c45f3a1a2cba6d56dfe073628ef4.gif, https://mnogomebeli.com/upload/uf/ca8/dctltauq8ls0sk167u2ms99br2lo1rk5.jpg, https://mnogomebeli.com/upload/iblock/22e/22e6ebe73cfc1e263b1f034e09e1eb08.png","Dandy-2 - диван с механизмом «EASY ROLL», который подойдет для любой современной квартиры. Компактный размер дивана сочетается с оптимальным спальным местом, на котором могут с комфортом разместиться 2 человека.","Габариты (ШхГхВ): 167x112x88 см, Спальное место (ШхГ): 135x198 см, Механизм трансформации: EASY ROLL, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: рогожка Malmo, Бельевой ящик: Нет, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 114 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Простой уход, Высокая стойкость к истиранию - 35 000 циклов, Соответствует европейскому сертификату OEKO-TEX®"
Кровать SKANDY Monolit роуз,https://mnogomebeli.com/krovati/dvuspalnye-krovati/krovat-skandy-test/!krovat-skandy-monolit-rouz/,41 999,34 999,-17%,"https://mnogomebeli.com/upload/iblock/bfc/arzv47h4xaibx9y369if4vjmcww4k0gi.jpg, https://mnogomebeli.com/upload/iblock/16b/8w6u9uotml5cjy2764nvs9nw3gz1xii0.jpg, https://mnogomebeli.com/upload/iblock/acb/7qy3mvi3wa0zgb320bpiee22fqpqzfie.jpg, https://mnogomebeli.com/upload/iblock/492/dgio9vjk5a053rd1qkscy7ofnjrlhu73.jpg","https://mnogomebeli.com/upload/uf/f99/wlywp0jnsc6a3134f6cdwl12wu05c4uh.jpg, https://mnogomebeli.com/upload/uf/3b3/odjddl414pqkth5bvl3aemuaoxz9v32z.jpg, https://mnogomebeli.com/upload/uf/f0b/heqm7xym729dm55ya4q9o9o8oje2xty7.jpg, https://mnogomebeli.com/upload/uf/a07/93wqk4eq78rcrx9kbwb4uw58k6yteum1.jpg, https://mnogomebeli.com/upload/iblock/b1b/p6209r1a4qk4n8tcqw276wv2txomk3gs.jpg",None,"Габариты (ШхДхВ): 182x218x106 см, Спальное место (ШхД): 160x200 см, Бельевой ящик и подъемный механизм: Да, Цвет: роуз, Материал: Массив дерева, металл, Гарантия: 36 месяцев, Срок службы: 10 лет, Тип ткани: велюр Monolit","Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 40 000 циклов, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Тактильно приятный, мягкий ворс, Мебельный бархат - тренд 2021 года"
Диван Астон велюр Monolit маст,https://mnogomebeli.com/divany/divan-aston/divan-aston-velyur-monolit/!divan-aston-shenill-velyur-monolit-mast/,47 999,36 999,-23%,"https://mnogomebeli.com/upload/iblock/040/1vjxu79r105q2ds1taccg5r75fdqq1vp.jpg, https://mnogomebeli.com/upload/iblock/d83/zjzbecpvj7z75ig0lom13qkcx437izon.jpg, https://mnogomebeli.com/upload/iblock/d66/3wmnl2u5cbotwduk1dpcm4swau9mm8hc.jpg, https://mnogomebeli.com/upload/iblock/2aa/u0dexoe9fcpdpood0rqas4tnrf0nbvvm.jpg, https://mnogomebeli.com/upload/iblock/656/53hkvbycnxtejiryp30cpve9ltu13wlq.jpg, https://mnogomebeli.com/upload/iblock/354/zxxjq3va066xg5dec2b5ovlhc9qac6hf.jpg","https://mnogomebeli.com/upload/uf/15e/15e6ebc6689b3c95fc9a8d90bf156e7c.png, https://mnogomebeli.com/upload/uf/353/353cfe57ae81ea084b2faf6794ed2cc4.png, https://mnogomebeli.com/upload/uf/b6a/9lt4ftrgo3xzqx9xequrvq9u7q7ufxeg.jpg, https://mnogomebeli.com/upload/uf/9ea/j4w4cu8o3h8vpzxd524088bo8xpjwjlz.gif, https://mnogomebeli.com/upload/uf/c71/i4gqeq8mpki5ht77hdv0mmpujb1nlosw.jpg, https://mnogomebeli.com/upload/iblock/7da/5b2n8q5yk14ufwhekillhig5b2g7gl7p.jpg","Диван в скандинавском стиле Астон подойдет для любой современной гостиной, благодаря лаконичному дизайну. Высокие элегантные ножки из массива подчеркивают легкость дивана. Высота ножек 11 см - под ним легко проедет робот-пылесос. Усовершенствованный механизм раскладывания OVER STEP 2.0 (Пантограф) позволит с легкостью трансформировать диван в полноценную кровать. Стальная пружина змейка в основании и мягкие приспинные подушки обеспечат комфорт при посадке.","Габариты (ШхГхВ): 219x96x90 см, Спальное место (ШхГ): 190x140 см, Механизм трансформации: Over Step 2.0, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: велюр Monolit, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да","Водоотталкивающая пропитка Water Repellent, Гипоаллергенный материал, Соответствует европейскому сертификату OEKO-TEX®, Мебельный бархат - тренд 2021 года, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию - 40 000 циклов"
Диван Мадрид  Лайт рогожка Malmo серый,https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-layt-malmo/!divan-madrid-layt-rogozhka-malmo-seryy/,26 999,18 999,-30%,"https://mnogomebeli.com/upload/iblock/cb9/uhurnb0hl9e26oiyojds38jj0jk3i4cb.jpg, https://mnogomebeli.com/upload/iblock/8e2/mku1nangzhcb003d7vnop1vcy3lcuunv.jpg, https://mnogomebeli.com/upload/iblock/428/wwv8vefcq260arbgnm2xwh6l5ar7gw9q.jpg, https://mnogomebeli.com/upload/iblock/7a5/361b2fpe9ragxxltu96rn4gxbwq9vby6.jpg, https://mnogomebeli.com/upload/iblock/e6f/cf1lk21i36op5v6w2tk047nidqqmv2mf.jpg, https://mnogomebeli.com/upload/iblock/021/ah15l9h3uudiaauhgviotare90kgvqp8.jpg","https://mnogomebeli.com/upload/uf/697/69720f84816182f5d296c4cb70ef66d2.png, https://mnogomebeli.com/upload/uf/0bd/0bd13ba969ec2de9599265b237a1460a.jpg, https://mnogomebeli.com/upload/uf/9e1/9e1f73b804551253602a62d867d6743b.jpg, https://mnogomebeli.com/upload/uf/9a2/7n9trhn07cd1zrs3mlg2j38uihf3z65h.jpg, https://mnogomebeli.com/upload/iblock/6f0/6f08b376267cf8ccd5871cd1c973af11.jpg","Использование современных материалов позволило нам создать эту стильную и компактную модель устойчивую к высоким нагрузкам. Мягкие подушки, наполненные холлофайбером и дробленой пеной, принимают идеальную форму для снятия напряжения с вашего позвоночника. Наполнитель находится в дополнительном чехле, что позволяет при необходимости почистить основной.","Габариты (ШхГхВ): 190x82x92 см, Спальное место (ШхГ): 190x130 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Вес: 69 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Соответствует европейскому сертификату OEKO-TEX®, Гладкая и приятная на ощупь текстура, Простой уход"
Диван Атланта НПБ рогожка Malmo шоколад,https://mnogomebeli.com/divany/pryamye-divany/atlanta-npb-malmo/!divan-atlanta-npb-rogozhka-malmo-shokolad/,,35 999,,"https://mnogomebeli.com/upload/iblock/3bd/47d5r50gnmrgg2hyc2hf6s8mv97hza9f.jpg, https://mnogomebeli.com/upload/iblock/eb1/l1euf5lg1fibqwy4xbr62htj99v61hmh.jpg, https://mnogomebeli.com/upload/iblock/457/m4qry90mi279t0vo0g7tad1ckq4vsxgh.jpg, https://mnogomebeli.com/upload/iblock/43a/x5r5n38vxbzzf42hlu5i51vpg1w8fkn7.jpg, https://mnogomebeli.com/upload/iblock/d26/8cerfyno4b0x4yz26s3zt6647z21yrnr.jpg, https://mnogomebeli.com/upload/iblock/f2c/hbs3jamceywwaqzujj8g5eoeriisilby.jpg","https://mnogomebeli.com/upload/uf/25f/25f6dcd606a725b83c23e0f4fca88036.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/728/7281d808f0b4d5218e4e4ddb6f9ea110.jpg, https://mnogomebeli.com/upload/uf/e12/e123747069a4b117a76e3acb4bf1589c.gif, https://mnogomebeli.com/upload/iblock/1e3/1e31e0dbbe40c4364a1c1153a3de2643.png","Стильная и элегантная модель дивана Атланта просто создана стать любимым местом для отдыха в Вашей гостиной. Оптимальный для ежедневного использования механизм трансформации еврокнижка, за считанные секунды, без малейших усилий поможет превратить диван в полноценную кровать с высоким и ровным спальным местом.","Габариты (ШхГхВ): 230x105x87 см, Спальное место (ШхГ): 196x140 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 115 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Простой уход, Соответствует европейскому сертификату OEKO-TEX®, Высокая стойкость к истиранию - 35 000 циклов"
Диван Атланта Люкс рогожка Malmo бежевый,https://mnogomebeli.com/divany/pryamye-divany/atlanta-malmo/!atlanta-malmo-beige/,35 999,26 999,-25%,"https://mnogomebeli.com/upload/iblock/d98/t0sbu2hx2iun0ep0ur2xrzqne53c4sig.jpg, https://mnogomebeli.com/upload/iblock/bea/bmcwdob9bphw9iconn9r76m1rsmbtaew.jpg, https://mnogomebeli.com/upload/iblock/36c/x1j73v6pjfxlzgrkxa0o2lobztd9e7kq.jpg, https://mnogomebeli.com/upload/iblock/02c/126lq2ym2jefoym9n9oaxfkvhhjm3i50.jpg, https://mnogomebeli.com/upload/iblock/b8c/ir7rr1b8m57x9o75oyj13oto4svgkfwu.jpg, https://mnogomebeli.com/upload/iblock/c23/c23e8c382031757820d125cd9ca6a6e8.jpg, https://mnogomebeli.com/upload/iblock/80e/w8w4ry8zo3n02e2sxdt25cl09e4jucdw.jpg","https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/728/7281d808f0b4d5218e4e4ddb6f9ea110.jpg, https://mnogomebeli.com/upload/iblock/41e/41e5ef38ed963b0d45ea3a4481109a1f.png",Стильная и элегантная модель дивана Атланта просто создана стать любимым местом для отдыха в Вашей гостиной.,"Габариты (ШхГхВ): 223x98x87 см, Спальное место (ШхГ): 190x130 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 100 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Простой уход, Гипоаллергенный материал, Воздухопроницаемый материал"
